experiment,time,CO2_ppm,A_zsat,I_zsat,P_zsat,A_zcc,I_zcc,P_zcc,A_deep_CO3,I_deep_CO3,P_deep_CO3,A_deep_DIC,I_deep_DIC,P_deep_DIC,A_deep_TA,I_deep_TA,P_deep_TA,H_DIC,H_TA,deep temperature,surface temperature,high-deep mixing (Atlantic),high-deep mixing (Indian),high-deep mixing (Pacific),thermohaline circulation:,thermohaline upwelling (Atlantic),thermohaline upwelling (Indian),high-lat PO4 export constant
control,5500.0,280.1164602043012,4672,3472,2936,4911,3755,3445,105.58338136133352,83.3648493298727,75.01295860480256,2208.479376489115,2287.780781365098,2342.872594823374,2343.6118766719715,2379.722273715222,2416.0640732456054,2140.979175566387,2323.633847335263,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,5600.0,280.1178691903969,4672,3472,2936,4911,3755,3444,105.5832756172161,83.36374917140904,75.01216929839697,2208.4784926500965,2287.778194333836,2342.870555607655,2343.610858188354,2379.7177448222246,2416.0605598090888,2140.977250172196,2323.63066106854,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,5700.0,280.11923934466483,4672,3472,2936,4911,3755,3444,105.5833808575885,83.36293816439876,75.01141243912448,2208.478002431826,2287.7761215804617,2342.86857654132,2343.6105717775954,2379.714248741781,2416.057168533174,2140.9755678478728,2323.627792551308,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,5800.0,280.1204306644631,4672,3472,2936,4911,3755,3444,105.5833448130377,83.36231966073456,75.01156398970197,2208.477418884509,2287.7744362559592,2342.8683643327927,2343.6099510128997,2379.711482376734,2416.0572819784065,2140.974645091447,2323.625963571459,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,5900.0,280.12191062399745,4672,3472,2936,4911,3755,3444,105.58183195302811,83.36156320973706,75.00950515985386,2208.474211987553,2287.772438252108,2342.863845566097,2343.6042886402597,2379.708154299309,2416.0488457173865,2140.9715806641548,2323.6213218173566,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6000.0,280.12337523434235,4671,3472,2936,4911,3755,3444,105.57971458593704,83.36060370278292,75.00946968947954,2208.4700387235034,2287.77005996772,2342.8632234743823,2343.5966817655158,2379.704081387139,2416.0482139947803,2140.969571490688,2323.618000911323,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6100.0,280.1247571192368,4671,3472,2936,4910,3755,3444,105.57784527329208,83.36004050017812,75.00932426139858,2208.466337257315,2287.7684173392045,2342.862355302517,2343.589959594909,2379.701468356848,2416.0470828373645,2140.967691828632,2323.614881671108,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6200.0,280.1261765729972,4671,3472,2935,4910,3755,3444,105.57624908673796,83.36057408186952,75.00846650005765,2208.4630273812845,2287.7687177317507,2342.8601256118422,2343.584076522245,2379.702763985883,2416.0432539897497,2140.965579473156,2323.611460018584,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6300.0,280.1275755000288,4671,3472,2935,4910,3755,3444,105.574861719311,83.36118308763714,75.00772695442066,2208.460071019099,2287.769147554492,2342.8581123598437,2343.578886920909,2379.704325870542,2416.03986609675,2140.963751477832,2323.6083940313,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6400.0,280.1289205372159,4671,3472,2935,4910,3755,3444,105.5736779092932,83.36126332570862,75.00710111081453,2208.4575040487475,2287.768625071388,2342.856319489484,2343.5744161434336,2379.7039663589976,2416.0369137061007,2140.962078211715,2323.6055437044897,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6500.0,280.130060921717,4671,3472,2935,4910,3755,3444,105.57384952386651,83.36260360972008,75.00662995567639,2208.457329919208,2287.770459615738,2342.8548647767666,2343.574558078378,2379.708250021145,2416.03459253125,2140.961372703398,2323.604002427372,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6600.0,280.1309778950167,4671,3472,2935,4910,3755,3444,105.5746329250622,83.36372075359559,75.00628329945867,2208.4583269319373,2287.7719716143074,2342.853703790676,2343.576854338824,2379.7117873572565,2416.0327985654976,2140.9611438325537,2323.6031726963843,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6700.0,280.1318520090724,4671,3472,2935,4910,3755,3444,105.575147331048,83.36251225262201,75.00589181688126,2208.45891918597,2287.769348130537,2342.8524846833698,2343.578294867265,2379.7069852003165,2416.0308575164304,2140.960345690949,2323.601666657978,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6800.0,280.1326429518815,4671,3472,2935,4910,3755,3444,105.57546317218434,83.36248980582562,75.00554008276593,2208.459241228488,2287.7689611242413,2342.851377325528,2343.5791391903067,2379.706589241099,2416.029103253131,2140.959736187982,2323.6004477941774,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,6900.0,280.13328181570927,4671,3472,2935,4910,3755,3444,105.57565143465143,83.36377490095096,75.00531035686444,2208.459442938204,2287.770997229132,2342.850550676977,2343.5796516376627,2379.710961985667,2416.027860469302,2140.959528727308,2323.599814722799,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,7000.0,280.133794601241,4671,3472,2935,4910,3755,3444,105.57575253824444,83.36473498729328,75.00516618780048,2208.459563212228,2287.772496611609,2342.849930367371,2343.5799380326675,2379.7141910701007,2416.026984036685,2140.9593689322846,2323.59931434447,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
